skip_factor,1,2,4,8,16,32,64,128,256,512,1024
,,,,,,,,,,,175.92
2.0,217.53,311.88,323.68,297.91,247.86,253.96,256.5,239.14,223.56,195.11,
4.0,503.83,,264.84,,148.48,,110.36,,149.18,,
8.0,,229.12,,,128.93,,,96.26,,,
16.0,,,236.72,,,,102.97,,,,
32.0,531.19,,,,,145.26,,,,,
256.0,,,227.52,,,,,,,,
