step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps
1,320.9071350097656,2,mnist,16,8
2,317.25042724609375,2,mnist,16,8
4,317.1810607910156,2,mnist,16,8
8,296.94122314453125,2,mnist,16,8
1,216.2261505126953,8,cifar10,16,2
2,229.12266540527344,8,cifar10,16,2
1,212.28036499023438,16,cifar10,64,4
2,214.96026611328125,16,cifar10,64,4
4,236.7191619873047,16,cifar10,64,4
1,318.8515930175781,16,mnist,64,4
2,317.7459716796875,16,mnist,64,4
4,241.17959594726562,16,mnist,64,4
