step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
256,180.9296875,2,cifar10,1024,512,1000,ef
512,199.53004455566406,2,cifar10,1024,512,1000,ef
4,326.13861083984375,16,mnist,1024,64,1000,default
16,318.21075439453125,16,mnist,1024,64,1000,default
32,310.56396484375,16,mnist,1024,64,1000,default
64,164.68212890625,16,mnist,1024,64,1000,default
4,200.2841796875,4,cifar10,1024,256,1000,l
32,197.82518005371094,4,cifar10,1024,256,1000,l
128,174.99717712402344,4,cifar10,1024,256,1000,l
256,131.89877319335938,4,cifar10,1024,256,1000,l
4,323.6377258300781,4,mnist,1024,256,1000,l
32,321.42864990234375,4,mnist,1024,256,1000,l
128,310.0511169433594,4,mnist,1024,256,1000,l
256,154.17889404296875,4,mnist,1024,256,1000,l
4,326.07586669921875,2,mnist,128,64,32,default
16,318.8066101074219,2,mnist,128,64,32,default
32,309.4476623535156,2,mnist,128,64,32,default
64,174.16819763183594,2,mnist,128,64,32,default
4,203.82781982421875,2,cifar10,512,256,500,default
64,198.70156860351562,2,cifar10,512,256,500,default
128,177.6173858642578,2,cifar10,512,256,500,default
256,203.7105255126953,2,cifar10,512,256,500,default
1,322.7982177734375,4,mnist,128,32,1000,lf
4,320.49462890625,4,mnist,128,32,1000,lf
8,317.0248718261719,4,mnist,128,32,1000,lf
32,192.5140380859375,4,mnist,128,32,1000,lf
4,206.10006713867188,4,cifar10,1024,256,1000,default
64,203.02987670898438,4,cifar10,1024,256,1000,default
128,183.03358459472656,4,cifar10,1024,256,1000,default
256,149.18336486816406,4,cifar10,1024,256,1000,default
4,324.1728210449219,2,mnist,512,256,128,default
64,317.38330078125,2,mnist,512,256,128,default
128,307.1893005371094,2,mnist,512,256,128,default
256,150.73390197753906,2,mnist,512,256,128,default
1,428.2605895996094,2,cifar10,2,1,128,default
1,324.4882507324219,2,mnist,64,32,1000,vefnlf
4,322.5083923339844,2,mnist,64,32,1000,vefnlf
8,314.9063415527344,2,mnist,64,32,1000,vefnlf
32,273.7005310058594,2,mnist,64,32,1000,vefnlf
4,325.22589111328125,2,mnist,512,256,1000,vefnlf
32,322.8606262207031,2,mnist,512,256,1000,vefnlf
128,310.8170166015625,2,mnist,512,256,1000,vefnlf
256,162.723388671875,2,mnist,512,256,1000,vefnlf
1,320.439453125,2,mnist,16,8,500,default
2,314.404052734375,2,mnist,16,8,500,default
4,315.0504455566406,2,mnist,16,8,500,default
8,292.3274841308594,2,mnist,16,8,500,default
2,201.82464599609375,2,cifar10,32,16,128,default
4,203.2149658203125,2,cifar10,32,16,128,default
8,208.5216064453125,2,cifar10,32,16,128,default
16,245.89190673828125,2,cifar10,32,16,128,default
1,321.356689453125,2,mnist,8,4,128,default
2,317.9074401855469,2,mnist,8,4,128,default
4,230.58384704589844,2,mnist,8,4,128,default
4,201.35678100585938,2,cifar10,128,64,500,default
16,199.0255126953125,2,cifar10,128,64,500,default
32,176.74949645996094,2,cifar10,128,64,500,default
64,245.08445739746094,2,cifar10,128,64,500,default
1,467.4417724609375,8,cifar10,8,1,1000,ef
1,318.5073547363281,2,mnist,4,2,128,default
2,281.5574645996094,2,mnist,4,2,128,default
4,326.3734436035156,2,mnist,1024,512,1000,default
64,323.4613342285156,2,mnist,1024,512,1000,default
128,318.1971130371094,2,mnist,1024,512,1000,default
512,150.37852478027344,2,mnist,1024,512,1000,default
2,215.4536895751953,2,cifar10,32,16,32,default
4,217.74456787109375,2,cifar10,32,16,32,default
8,220.52232360839844,2,cifar10,32,16,32,default
16,231.75062561035156,2,cifar10,32,16,32,default
4,325.61212158203125,8,mnist,1024,128,1000,default
32,317.26654052734375,8,mnist,1024,128,1000,default
64,312.6136474609375,8,mnist,1024,128,1000,default
128,149.6214141845703,8,mnist,1024,128,1000,default
4,211.628173828125,4,cifar10,256,64,1000,l
16,207.72898864746094,4,cifar10,256,64,1000,l
64,100.75894165039062,4,cifar10,256,64,1000,l
1,315.1968078613281,2,mnist,8,4,1000,default
2,317.13531494140625,2,mnist,8,4,1000,default
4,296.566650390625,2,mnist,8,4,1000,default
1,213.52252197265625,2,cifar10,16,8,1000,default
2,215.55154418945312,2,cifar10,16,8,1000,default
4,211.39614868164062,2,cifar10,16,8,1000,default
8,297.91412353515625,2,cifar10,16,8,1000,default
1,315.76397705078125,2,mnist,4,2,1000,lf
2,270.26556396484375,2,mnist,4,2,1000,lf
4,326.2115173339844,2,mnist,256,128,32,default
32,320.1807556152344,2,mnist,256,128,32,default
64,311.71282958984375,2,mnist,256,128,32,default
128,151.145263671875,2,mnist,256,128,32,default
2,205.08094787597656,4,cifar10,64,16,1000,default
4,204.3909454345703,4,cifar10,64,16,1000,default
8,195.90560913085938,4,cifar10,64,16,1000,default
16,148.48077392578125,4,cifar10,64,16,1000,default
2,322.00628662109375,4,mnist,64,16,1000,default
4,318.29730224609375,4,mnist,64,16,1000,default
8,313.33740234375,4,mnist,64,16,1000,default
16,204.58990478515625,4,mnist,64,16,1000,default
1,495.588623046875,4,cifar10,4,1,1000,l
1,318.38800048828125,8,mnist,16,2,1000,default
2,263.2051696777344,8,mnist,16,2,1000,default
4,205.7601318359375,4,cifar10,256,64,1000,default
16,202.66665649414062,4,cifar10,256,64,1000,default
32,188.0574951171875,4,cifar10,256,64,1000,default
64,110.3606185913086,4,cifar10,256,64,1000,default
