step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
4,317.1810607910156,2,mnist,16,8,1000,default
8,296.94122314453125,2,mnist,16,8,1000,default
1,308.3141784667969,2,mnist,2,1,1000,lf
2,207.42861938476562,4,cifar10,128,32,1000,ef
16,183.26321411132812,4,cifar10,128,32,1000,ef
32,220.2808837890625,4,cifar10,128,32,1000,ef
1,316.1921691894531,32,mnist,32,1,1000,vefnlf
1,216.2261505126953,8,cifar10,16,2,1000,default
2,229.12266540527344,8,cifar10,16,2,1000,default
1,212.28036499023438,16,cifar10,64,4,1000,default
2,214.96026611328125,16,cifar10,64,4,1000,default
4,236.7191619873047,16,cifar10,64,4,1000,default
4,324.1250305175781,8,mnist,1024,128,1000,lf
16,322.49224853515625,8,mnist,1024,128,1000,lf
32,316.1720275878906,8,mnist,1024,128,1000,lf
128,153.07742309570312,8,mnist,1024,128,1000,lf
1,318.8515930175781,16,mnist,64,4,1000,default
2,317.7459716796875,16,mnist,64,4,1000,default
4,241.17959594726562,16,mnist,64,4,1000,default
