Wall time,Step,Value
1710788306.974514,4,205.8217010498047
1710788340.6052256,64,205.9642791748047
1710788374.6952825,128,205.43309020996094
1710788408.2490745,512,183.95494079589844
1710788441.8908613,1024,175.92172241210938
